KGP_sample_id	karyotype	superpopulation	population	unrelated
NA20512	XY	EUR	TSI	true
NA20513	XY	EUR	TSI	true
NA20514	XX	EUR	TSI	true
NA20515	XY	EUR	TSI	true
NA20516	XY	EUR	TSI	true
NA20517	XX	EUR	TSI	true
NA20518	XY	EUR	TSI	true
NA20519	XY	EUR	TSI	true
NA20520	XY	EUR	TSI	true
NA20521	XY	EUR	TSI	true
NA20522	XX	EUR	TSI	true
NA20524	XY	EUR	TSI	true
NA20525	XY	EUR	TSI	true
NA20527	XY	EUR	TSI	true
NA20528	XY	EUR	TSI	true
NA20529	XX	EUR	TSI	true
NA20530	XX	EUR	TSI	true
NA20531	XX	EUR	TSI	true
NA20532	XY	EUR	TSI	true
NA20533	XX	EUR	TSI	true
NA20534	XY	EUR	TSI	true
NA20535	XX	EUR	TSI	true
NA20536	XY	EUR	TSI	true
NA20538	XY	EUR	TSI	true
NA20539	XY	EUR	TSI	true
NA20540	XX	EUR	TSI	true
NA20541	XX	EUR	TSI	true
NA20542	XX	EUR	TSI	true
NA20543	XY	EUR	TSI	true
NA20544	XY	EUR	TSI	true
NA20581	XY	EUR	TSI	true
NA20582	XX	EUR	TSI	true
NA20585	XX	EUR	TSI	true
NA20586	XY	EUR	TSI	true
NA20587	XX	EUR	TSI	true
NA20588	XY	EUR	TSI	true
NA20589	XX	EUR	TSI	true
NA20752	XY	EUR	TSI	true
NA20753	XX	EUR	TSI	true
NA20754	XY	EUR	TSI	true
NA20755	XY	EUR	TSI	true
NA20756	XX	EUR	TSI	true
NA20757	XX	EUR	TSI	true
NA20758	XY	EUR	TSI	true
NA20759	XY	EUR	TSI	true
NA20760	XX	EUR	TSI	true
NA20761	XX	EUR	TSI	true
NA20762	XY	EUR	TSI	true
NA20763	XY	EUR	TSI	true
NA20764	XX	EUR	TSI	true
NA20765	XY	EUR	TSI	true
NA20766	XX	EUR	TSI	true
NA20767	XY	EUR	TSI	true
NA20768	XX	EUR	TSI	true
NA20769	XX	EUR	TSI	true
NA20770	XY	EUR	TSI	true
NA20771	XX	EUR	TSI	true
NA20772	XX	EUR	TSI	true
NA20773	XX	EUR	TSI	true
NA20774	XX	EUR	TSI	true
NA20775	XX	EUR	TSI	true
NA20778	XY	EUR	TSI	true
NA20783	XY	EUR	TSI	true
NA20785	XY	EUR	TSI	true
NA20786	XX	EUR	TSI	true
NA20787	XY	EUR	TSI	true
NA20790	XX	EUR	TSI	true
NA20792	XY	EUR	TSI	true
NA20795	XX	EUR	TSI	true
NA20796	XY	EUR	TSI	true
NA20797	XX	EUR	TSI	true
NA20798	XY	EUR	TSI	true
NA20799	XX	EUR	TSI	true
NA20800	XX	EUR	TSI	true
NA20801	XY	EUR	TSI	true
NA20802	XX	EUR	TSI	true
NA20803	XY	EUR	TSI	true
NA20804	XX	EUR	TSI	true
NA20805	XY	EUR	TSI	true
NA20806	XY	EUR	TSI	true
NA20807	XX	EUR	TSI	true
NA20808	XX	EUR	TSI	true
NA20809	XY	EUR	TSI	true
NA20810	XY	EUR	TSI	true
NA20811	XY	EUR	TSI	true
NA20812	XY	EUR	TSI	true
NA20813	XX	EUR	TSI	true
NA20814	XY	EUR	TSI	true
NA20815	XY	EUR	TSI	true
NA20818	XX	EUR	TSI	true
NA20819	XX	EUR	TSI	true
NA20821	XX	EUR	TSI	true
NA20822	XX	EUR	TSI	true
NA20826	XX	EUR	TSI	true
NA20827	XY	EUR	TSI	true
NA20828	XX	EUR	TSI	true
NA20832	XX	EUR	TSI	true
NA20845	XY	SAS	GIH	true
NA20846	XY	SAS	GIH	true
NA20847	XX	SAS	GIH	true
NA20849	XX	SAS	GIH	true
NA20850	XY	SAS	GIH	true
NA20851	XX	SAS	GIH	true
NA20852	XY	SAS	GIH	true
NA20853	XX	SAS	GIH	true
NA20854	XX	SAS	GIH	true
NA20856	XX	SAS	GIH	true
NA20858	XY	SAS	GIH	true
NA20859	XX	SAS	GIH	true
NA20861	XY	SAS	GIH	true
NA20862	XX	SAS	GIH	true
NA20863	XY	SAS	GIH	true
NA20864	XY	SAS	GIH	true
NA20866	XY	SAS	GIH	true
NA20867	XY	SAS	GIH	true
NA20868	XX	SAS	GIH	true
NA20869	XX	SAS	GIH	true
NA20870	XY	SAS	GIH	true
NA20872	XX	SAS	GIH	true
NA20874	XX	SAS	GIH	true
NA20875	XX	SAS	GIH	true
NA20876	XX	SAS	GIH	true
NA20877	XX	SAS	GIH	true
NA20878	XX	SAS	GIH	true
NA20881	XX	SAS	GIH	true
NA20882	XX	SAS	GIH	true
NA20884	XY	SAS	GIH	true
NA20885	XY	SAS	GIH	true
NA20886	XX	SAS	GIH	true
NA20887	XY	SAS	GIH	true
NA20888	XX	SAS	GIH	true
NA20889	XY	SAS	GIH	true
NA20890	XY	SAS	GIH	true
NA20891	XY	SAS	GIH	true
NA20892	XX	SAS	GIH	true
NA20894	XX	SAS	GIH	true
NA20895	XY	SAS	GIH	true
NA20896	XX	SAS	GIH	true
NA20897	XY	SAS	GIH	true
NA20899	XX	SAS	GIH	true
NA20900	XX	SAS	GIH	true
NA20901	XY	SAS	GIH	true
NA20902	XX	SAS	GIH	true
NA20903	XY	SAS	GIH	true
NA20904	XY	SAS	GIH	true
NA20905	XY	SAS	GIH	true
NA20906	XX	SAS	GIH	true
NA20908	XX	SAS	GIH	true
NA20910	XX	SAS	GIH	true
NA20911	XY	SAS	GIH	true
NA21086	XX	SAS	GIH	true
NA21087	XY	SAS	GIH	true
NA21088	XX	SAS	GIH	true
NA21089	XX	SAS	GIH	true
NA21090	XY	SAS	GIH	true
NA21091	XY	SAS	GIH	true
NA21092	XY	SAS	GIH	true
NA21093	XY	SAS	GIH	true
NA21094	XY	SAS	GIH	true
NA21095	XY	SAS	GIH	true
NA21097	XX	SAS	GIH	true
NA21098	XY	SAS	GIH	true
NA21099	XY	SAS	GIH	true
NA21100	XY	SAS	GIH	true
NA21101	XX	SAS	GIH	true
NA21102	XX	SAS	GIH	true
NA21103	XX	SAS	GIH	true
NA21104	XY	SAS	GIH	true
NA21105	XY	SAS	GIH	true
NA21106	XX	SAS	GIH	true
NA21107	XY	SAS	GIH	true
NA21108	XX	SAS	GIH	true
NA21109	XY	SAS	GIH	true
NA21110	XX	SAS	GIH	true
NA21111	XY	SAS	GIH	true
NA21112	XY	SAS	GIH	true
NA21113	XY	SAS	GIH	true
NA21114	XY	SAS	GIH	true
NA21115	XY	SAS	GIH	true
NA21116	XY	SAS	GIH	true
NA21117	XY	SAS	GIH	true
NA21118	XY	SAS	GIH	true
NA21119	XY	SAS	GIH	true
NA21120	XX	SAS	GIH	true
NA21122	XX	SAS	GIH	true
NA21123	XY	SAS	GIH	true
NA21124	XY	SAS	GIH	true
NA21125	XX	SAS	GIH	true
NA21126	XY	SAS	GIH	true
NA21127	XY	SAS	GIH	true
NA21128	XY	SAS	GIH	true
NA21129	XY	SAS	GIH	true
NA21130	XY	SAS	GIH	true
NA21133	XY	SAS	GIH	true
NA21135	XY	SAS	GIH	true
NA21137	XX	SAS	GIH	true
NA21141	XX	SAS	GIH	true
NA21142	XX	SAS	GIH	true
NA21143	XX	SAS	GIH	true
NA21144	XX	SAS	GIH	true
