IID,inferred_pop
100954460002_R04C01,EAS
100954460002_R04C02,EUR
100954460002_R05C01,EAS
100954460002_R05C02,EUR
100954460002_R06C01,SAS
100954460004_R03C02,EUR
100954460008_R01C02,EUR
100954460008_R02C02,EUR
100954460008_R03C02,EUR
100954460008_R04C02,SAS
100954460008_R06C01,EUR
100954460008_R06C02,EUR
100954460013_R01C01,EUR
100954460013_R02C01,EUR
100954460015_R02C01,SAS
100954460015_R03C01,EUR
100954460019_R01C01,EAS
100954460019_R03C01,EUR
100954460019_R04C01,EUR
100954460027_R01C02,EUR
100954460027_R03C01,EUR
100954460027_R04C01,EAS
100954460027_R05C01,EAS
100954460037_R04C01,EAS
100954460037_R05C01,EAS
100954460038_R01C01,EUR
100954460038_R02C02,SAS
100954460038_R03C02,EUR
100954460038_R04C01,EUR
100954460038_R04C02,EUR
100954460038_R05C01,EUR
100954460038_R05C02,EUR
100954460038_R06C02,EUR
100954460039_R01C01,EUR
100954460039_R02C01,EUR
100954460050_R01C02,EUR
100954460050_R02C02,AMR
100954460050_R03C02,EUR
100954460050_R04C02,EUR
100954460050_R05C01,EUR
100954460050_R05C02,EUR
100954460050_R06C01,EUR
100954460052_R01C02,EAS
100954460052_R02C02,EUR
100954460052_R05C01,EUR
100954460052_R05C02,EUR
100954460052_R06C01,EAS
100954460052_R06C02,EUR
100954460059_R03C01,EAS
100954460061_R01C01,EUR
100954460063_R01C02,EUR
100954460063_R06C01,EUR
100954460066_R01C01,EAS
100954460066_R01C02,EUR
100954460066_R02C01,EAS
100954460066_R02C02,EUR
100954460066_R03C01,EUR
100954460066_R03C02,EUR
100954460066_R04C01,EUR
100954460066_R04C02,EUR
100954460066_R05C01,AFR
100954460066_R05C02,AMR
100954460066_R06C01,EUR
100954460067_R01C01,EUR
100954460067_R03C01,EUR
100954460069_R06C02,EUR
100954460072_R01C02,EUR
100954460072_R02C02,AFR
100954460072_R03C02,EUR
100954460077_R04C02,EUR
100954460077_R05C02,EUR
100954460078_R01C01,SAS
100954460078_R04C01,EUR
100954460078_R05C01,EUR
100954460078_R06C01,EAS
100954460085_R01C02,EAS
100954460085_R05C01,EUR
100954460085_R06C01,EAS
100954460086_R01C01,EUR
100954460086_R02C01,EUR
100954460086_R02C02,EUR
100954460086_R03C01,EUR
100954460086_R04C01,EUR
100954460086_R05C01,EUR
100954460086_R06C02,EUR
100954460088_R01C01,EUR
100954460088_R01C02,EUR
100954460088_R02C01,EUR
100954460088_R02C02,EUR
100954460088_R03C01,EUR
100954460088_R03C02,EUR
100954460088_R04C01,EUR
100954460088_R05C01,EUR
100954460088_R05C02,EUR
100954460088_R06C01,EUR
100954460088_R06C02,EUR
100954460092_R01C01,EUR
100954460092_R01C02,AMR
100954460092_R02C02,SAS
100954460092_R03C01,AFR
100954460092_R03C02,SAS
100954460092_R04C01,EUR
100954460092_R04C02,AMR
100954460092_R05C01,EUR
100954460092_R05C02,EUR
100954460092_R06C01,EUR
100954460092_R06C02,EUR
100954460095_R01C01,EAS
100954460095_R01C02,EAS
100954460095_R02C01,EAS
100954460095_R02C02,EUR
100954460095_R03C01,EUR
100954460095_R03C02,EAS
100954460095_R06C01,EUR
100954460097_R02C01,AFR
100954460097_R02C02,AFR
100954460097_R03C01,AFR
100954460097_R03C02,AFR
100954460097_R04C01,EUR
100954460097_R04C02,EUR
100954460097_R05C01,AMR
100954460097_R05C02,EAS
100954460098_R01C01,SAS
100954460098_R01C02,EUR
100954460098_R02C01,SAS
100954460098_R05C01,EUR
100954460098_R06C01,EAS
100954460098_R06C02,SAS
100954460099_R01C01,EUR
100954460099_R01C02,EUR
100954460099_R02C01,EUR
100954460099_R02C02,EUR
100954460099_R03C01,EUR
100954460099_R03C02,EUR
100954460099_R04C01,EUR
100954460099_R04C02,EUR
100954460099_R05C01,EUR
100954460099_R06C01,EUR
100954460106_R01C01,EAS
100954460106_R02C01,EUR
100954460106_R03C01,EUR
100954460106_R04C01,EUR
100954460106_R05C01,EUR
100954460106_R06C01,EUR
100954460108_R02C01,EAS
100954460108_R03C01,EUR
100954460108_R04C01,EUR
100954460108_R06C01,EUR
100954460115_R01C01,AMR
100954460115_R02C01,AMR
100954460115_R03C01,AMR
100954460115_R04C01,EUR
100954460115_R05C01,AMR
100954460115_R06C01,AMR
100954460118_R05C01,EUR
100954460135_R04C02,EUR
100954460137_R04C02,EUR
100954460137_R05C02,EUR
100954460137_R06C02,EUR
100954460139_R01C01,EUR
100954460139_R02C01,EUR
100954460139_R03C01,SAS
100954460139_R04C01,EUR
100954460139_R05C01,EAS
100954460139_R06C01,EUR
100954460140_R03C02,EAS
100954460140_R04C02,EUR
100954460146_R04C02,EUR
100954460146_R05C02,EUR
100954460146_R06C02,AFR
100954520001_R01C01,EAS
100954520001_R01C02,EUR
100954520001_R02C01,EAS
100954520005_R01C01,EAS
100954520005_R02C01,EAS
100954520010_R01C01,EUR
100954520010_R02C01,EUR
100954520010_R03C02,EUR
100954520010_R04C01,EUR
100954520010_R04C02,EUR
100954520010_R05C01,EUR
100954520014_R01C01,EAS
100954520014_R02C01,EAS
100954520014_R03C01,SAS
100954520014_R04C01,SAS
100954520014_R05C01,EAS
100954520014_R06C01,EUR
100954520017_R04C02,EUR
100954520018_R04C01,EUR
100954520019_R01C01,EAS
100954520019_R02C01,EAS
100954520020_R02C01,EUR
100954520020_R03C01,AMR
100954520022_R01C02,EUR
100954520022_R02C01,EUR
100954520022_R03C01,EUR
100954520022_R04C01,EUR
100954520022_R05C01,EUR
100954520022_R06C01,EUR
100954520041_R01C02,SAS
100954520041_R02C02,EUR
100954520047_R03C02,EAS
100954520047_R04C02,EUR
100954520047_R05C02,EUR
100954520047_R06C02,EUR
100954520049_R01C02,EUR
100954520049_R02C02,EUR
100954520049_R03C02,EUR
100954520049_R04C01,EUR
100954520049_R04C02,EUR
100954520049_R05C01,EUR
100954520049_R05C02,EUR
100954520049_R06C01,SAS
100954520049_R06C02,AFR
100954520050_R01C01,EUR
100954520050_R01C02,EUR
100954520050_R02C01,EUR
100954520050_R03C01,EUR
100954520050_R04C01,EUR
100954520050_R05C01,EUR
100954520066_R01C02,EUR
100954520066_R02C02,EUR
100954520066_R03C02,EUR
100954520066_R04C01,EUR
100954520066_R04C02,EUR
100954520066_R05C01,EUR
100954520066_R05C02,EUR
100954520066_R06C01,EUR
100954520066_R06C02,EUR
100954520073_R01C02,EUR
100954520073_R02C01,EAS
100954520073_R02C02,EUR
100954520073_R03C01,EUR
100954520073_R03C02,EUR
100954520073_R04C01,EAS
100954520073_R04C02,EUR
100954520073_R05C01,EAS
100954520073_R05C02,EUR
100954520074_R02C02,EAS
100954520074_R03C02,EUR
100954520074_R04C02,EUR
100954520074_R05C02,EUR
100954520079_R02C01,EAS
100954520079_R03C01,EUR
100954520079_R04C01,EUR
100954520079_R05C01,EUR
100954520079_R05C02,EUR
100954520079_R06C01,EUR
100954520086_R03C01,EUR
100954520088_R01C01,EUR
100954520088_R01C02,EUR
100954520088_R02C01,EUR
100954520088_R02C02,EAS
100954520088_R03C01,EUR
100954520088_R03C02,EUR
100954520088_R04C01,EUR
100954520088_R04C02,EUR
100954520088_R05C02,SAS
100954520088_R06C02,SAS
100954520089_R01C01,EAS
100954520089_R06C02,EUR
100954520094_R01C01,EUR
100954520094_R01C02,EUR
100954520094_R02C01,EUR
100954520094_R02C02,AMR
100954520094_R03C01,AMR
100954520094_R03C02,AMR
100954520094_R04C01,EUR
100954520094_R05C01,EUR
100954520094_R06C01,EUR
100954520095_R01C01,EUR
100954520095_R01C02,EUR
100954520095_R02C01,SAS
100954520095_R02C02,EUR
100954520095_R03C01,EUR
100954520095_R03C02,EUR
100954520095_R04C01,EUR
100954520095_R04C02,EUR
100954520095_R05C01,EUR
100954520095_R06C01,EUR
100954520095_R06C02,EUR
100954520096_R01C02,EUR
100954520096_R02C02,EUR
100954520096_R03C02,EUR
100954520096_R04C01,EUR
100954520096_R04C02,EUR
100954520096_R05C01,EUR
100954520096_R05C02,EUR
100954520096_R06C01,EUR
100954520097_R04C02,EAS
100954520097_R05C02,EUR
100954520099_R06C01,SAS
100954520100_R01C01,EUR
100954520100_R02C01,EUR
100954520100_R05C01,EAS
100954520100_R06C01,EAS
100954520102_R01C01,EAS
100954520102_R01C02,EAS
100954520102_R02C01,EUR
100954520102_R02C02,EUR
100954520102_R03C01,EUR
100954520102_R03C02,EUR
100954520102_R04C01,EUR
100954520102_R04C02,EUR
100954520102_R05C02,EUR
100954520102_R06C02,EUR
100954520103_R01C01,EUR
100954520103_R01C02,EUR
100954520103_R02C01,EUR
100954520103_R02C02,SAS
